Tanggal,Aktual,Prediksi,Kualitas Udara Aktual,Kualitas Udara Prediksi
2025-03-30,8.584452727272727e-05,9.060135957106784e-05,Tinggi,Tinggi
2025-03-31,8.507664363636364e-05,8.956928460310246e-05,Tinggi,Tinggi
2025-04-01,8.430876e-05,8.815313850460096e-05,Tinggi,Tinggi
2025-04-02,6.968313e-05,8.56851578379343e-05,Tinggi,Tinggi
2025-04-03,5.5057500000000006e-05,6.67047985732684e-05,Sedang,Tinggi
2025-04-04,4.043187e-05,5.2680445410324675e-05,Sedang,Sedang
2025-04-05,3.621064e-05,5.258752157380952e-05,Rendah,Sedang
2025-04-06,3.198941e-05,4.1479902892141275e-05,Rendah,Sedang
2025-04-07,2.5184836e-05,3.058259511499842e-05,Sangat Rendah,Rendah
2025-04-08,3.812561e-05,3.42374482068254e-05,Rendah,Rendah
2025-04-09,4.027756388888889e-05,3.6703131424522216e-05,Sedang,Rendah
2025-04-10,4.2429517777777776e-05,3.794560960277778e-05,Sedang,Rendah
2025-04-11,4.458147166666667e-05,4.280471192212885e-05,Sedang,Sedang
2025-04-12,4.673342555555556e-05,4.69458961928147e-05,Sedang,Sedang
2025-04-13,4.888537944444444e-05,4.6348801232336105e-05,Sedang,Sedang
2025-04-14,5.1037333333333333e-05,4.8542157361870256e-05,Sedang,Sedang
2025-04-15,5.3189287222222225e-05,4.8986803951192045e-05,Sedang,Sedang
2025-04-16,5.534124111111111e-05,5.099663342452407e-05,Sedang,Sedang
2025-04-17,5.7493195e-05,5.5666749343056944e-05,Sedang,Sedang
2025-04-18,5.773273844444444e-05,5.7746266751674906e-05,Sedang,Sedang
2025-04-19,5.7972281888888886e-05,5.789732791008044e-05,Sedang,Sedang
2025-04-20,5.8211825333333335e-05,6.216543157576673e-05,Sedang,Sedang
2025-04-21,5.845136877777778e-05,6.216543157576673e-05,Sedang,Sedang
2025-04-22,5.869091222222222e-05,6.163195374243338e-05,Sedang,Sedang
2025-04-23,5.8930455666666664e-05,6.16595379777275e-05,Sedang,Sedang
2025-04-24,5.9169999111111114e-05,6.192418655738118e-05,Sedang,Sedang
2025-04-25,5.940954255555556e-05,6.219903874388912e-05,Sedang,Sedang
2025-04-26,5.9649086e-05,6.219903874388912e-05,Sedang,Sedang
2025-04-27,4.8812836999999996e-05,6.197506114539741e-05,Sedang,Sedang
2025-04-28,3.7976588e-05,5.675422225774977e-05,Rendah,Sedang
2025-04-29,3.7644884e-05,5.145579277904762e-05,Rendah,Sedang
2025-04-30,3.8132544e-05,3.763231118204323e-05,Rendah,Rendah
2025-05-01,0.00011049505999999998,3.994260474662309e-05,Tinggi,Sedang
2025-05-02,8.54627035e-05,8.913027484444445e-05,Tinggi,Tinggi
2025-05-03,6.043034699999999e-05,8.106660299365079e-05,Sedang,Tinggi
2025-05-04,3.53979905e-05,5.9145304515714284e-05,Rendah,Sedang
2025-05-05,1.0365634000000001e-05,4.276955372174603e-05,Sangat Rendah,Sedang
2025-05-06,1.458911e-05,3.3914315322222225e-05,Sangat Rendah,Rendah
2025-05-07,1.8812586e-05,2.2619417310837905e-05,Sangat Rendah,Sangat Rendah
2025-05-08,2.3036061999999997e-05,2.4374169009787584e-05,Sangat Rendah,Sangat Rendah
2025-05-09,2.7259538000000003e-05,2.6737879714293468e-05,Rendah,Sangat Rendah
2025-05-10,3.1483014e-05,3.192914928841111e-05,Rendah,Rendah
2025-05-11,4.6737376e-05,3.0891661569281046e-05,Sedang,Rendah
2025-05-12,3.4576174333333335e-05,4.316557444594017e-05,Rendah,Sedang
2025-05-13,2.2414972666666664e-05,3.4920348869444446e-05,Sangat Rendah,Rendah
2025-05-14,1.0253771e-05,3.737060068666667e-05,Sangat Rendah,Rendah
2025-05-15,2.25500135e-05,2.3866622379449025e-05,Sangat Rendah,Sangat Rendah
2025-05-16,3.4846256e-05,2.8086350950829407e-05,Rendah,Rendah
2025-05-17,3.826044e-05,3.220225955182222e-05,Rendah,Rendah
2025-05-18,3.211835e-05,3.6722027938888885e-05,Rendah,Rendah
2025-05-19,3.0333058166666663e-05,3.0722063204337036e-05,Rendah,Rendah
2025-05-20,2.854776633333333e-05,2.8826345830633334e-05,Rendah,Rendah
2025-05-21,2.67624745e-05,2.804166648967321e-05,Sangat Rendah,Rendah
2025-05-22,2.4977182666666666e-05,2.747621062222222e-05,Sangat Rendah,Rendah
2025-05-23,2.319189083333333e-05,3.2714135444761905e-05,Sangat Rendah,Rendah
2025-05-24,2.1406599e-05,3.118065375448179e-05,Sangat Rendah,Rendah
2025-05-25,2.34088792e-05,2.820070348452381e-05,Sangat Rendah,Rendah
2025-05-26,2.5411159400000003e-05,2.548786783600681e-05,Sangat Rendah,Sangat Rendah
2025-05-27,2.74134396e-05,2.7963833684863023e-05,Rendah,Rendah
2025-05-28,2.9415719800000002e-05,3.029970653158263e-05,Rendah,Rendah
2025-05-29,3.1418e-05,2.940898953852941e-05,Rendah,Rendah
2025-05-30,4.9599646e-05,3.0301609084150327e-05,Sedang,Rendah
2025-05-31,2.7924178e-05,4.352802848482906e-05,Rendah,Sedang
2025-06-01,2.6591251666666666e-05,2.9820290441666668e-05,Sangat Rendah,Rendah
2025-06-02,2.5258325333333333e-05,3.4146819616666666e-05,Sangat Rendah,Rendah
2025-06-03,2.3925399e-05,3.337714659182073e-05,Sangat Rendah,Rendah
2025-06-04,1.0546608e-05,3.185167552507002e-05,Sangat Rendah,Rendah
2025-06-05,3.410635e-05,2.3660102213888883e-05,Rendah,Sangat Rendah
2025-06-06,2.6045243e-05,3.0164605555555557e-05,Sangat Rendah,Rendah
2025-06-07,2.9270324000000002e-05,3.5439470050555564e-05,Rendah,Rendah
2025-06-08,3.2495405e-05,2.800141659833333e-05,Rendah,Rendah
2025-06-09,4.4878661e-05,2.989898106470588e-05,Sedang,Rendah
2025-06-10,5.7261917e-05,4.1407715507051284e-05,Sedang,Sedang
2025-06-11,2.382779e-05,5.542091644354701e-05,Sangat Rendah,Sedang
2025-06-12,2.4085215e-05,2.8786184194999997e-05,Sangat Rendah,Rendah
2025-06-13,2.2129881333333334e-05,3.22444569523e-05,Sangat Rendah,Rendah
2025-06-14,2.0174547666666666e-05,2.5967126820634923e-05,Sangat Rendah,Sangat Rendah
2025-06-15,1.8219214e-05,2.477150289670869e-05,Sangat Rendah,Sangat Rendah
2025-06-16,2.0472155e-05,2.4252936870437255e-05,Sangat Rendah,Sangat Rendah
2025-06-17,2.1273887e-05,2.4770638010306538e-05,Sangat Rendah,Sangat Rendah
2025-06-18,2.110790475e-05,2.4479519643639876e-05,Sangat Rendah,Sangat Rendah
2025-06-19,2.0941922500000002e-05,2.6016536395600652e-05,Sangat Rendah,Sangat Rendah
2025-06-20,2.077594025e-05,2.5321917686076852e-05,Sangat Rendah,Sangat Rendah
2025-06-21,2.0609958e-05,2.5462490995600658e-05,Sangat Rendah,Sangat Rendah
2025-06-22,1.2011515e-05,2.499824562893399e-05,Sangat Rendah,Sangat Rendah
2025-06-23,7.90334673566667e-06,2.215103013285556e-05,Sangat Rendah,Sangat Rendah
2025-06-24,2.7983127e-05,2.0927166151622223e-05,Rendah,Sangat Rendah
2025-06-25,2.2181918333333334e-05,3.608209142472223e-05,Sangat Rendah,Rendah
2025-06-26,1.6380709666666668e-05,3.3633058802855564e-05,Sangat Rendah,Rendah
2025-06-27,1.0579500999999999e-05,2.4404220886111114e-05,Sangat Rendah,Sangat Rendah
2025-06-28,1.7213429999999996e-05,2.084866495182222e-05,Sangat Rendah,Sangat Rendah
2025-06-29,2.3247414e-05,2.4065221405620916e-05,Sangat Rendah,Sangat Rendah
2025-06-30,2.9281398e-05,2.701477998034314e-05,Rendah,Sangat Rendah
2025-07-01,8.348387999999997e-06,3.134279811293334e-05,Sangat Rendah,Rendah
2025-07-02,2.2346889e-05,2.271623478666667e-05,Sangat Rendah,Sangat Rendah
2025-07-03,5.5302094499999995e-05,2.7845306189215687e-05,Sedang,Rendah
2025-07-04,8.82573e-05,3.874895644444444e-05,Tinggi,Rendah
2025-07-05,3.6134432e-05,7.484963389015872e-05,Rendah,Tinggi
2025-07-06,1.1213404000000001e-05,4.424396352873016e-05,Sangat Rendah,Sedang
2025-07-07,7.90334673566667e-06,3.4574534055555555e-05,Sangat Rendah,Rendah
2025-07-08,2.0169793e-05,2.2178256536315692e-05,Sangat Rendah,Sangat Rendah
2025-07-09,7.9572405e-05,2.7032281977924837e-05,Tinggi,Sangat Rendah
2025-07-10,8.6438165e-05,5.755622028444444e-05,Tinggi,Sedang
2025-07-11,3.0131667e-05,7.139703463285714e-05,Rendah,Tinggi
2025-07-12,2.2235309750000002e-05,4.473728914373016e-05,Sangat Rendah,Sedang
2025-07-13,1.43389525e-05,3.6053938422222215e-05,Sangat Rendah,Rendah
2025-07-14,0.00012237391,2.4706570361111107e-05,Tinggi,Sangat Rendah
2025-07-15,5.358697e-05,8.287868693111113e-05,Sedang,Tinggi
2025-07-16,3.8275008e-05,5.0884221385873015e-05,Rendah,Sedang
2025-07-17,3.7857902e-05,4.219178802174603e-05,Rendah,Sedang
2025-07-18,2.9151379e-05,3.834749434769683e-05,Rendah,Rendah
2025-07-19,4.5049368e-05,2.7173535251109526e-05,Sedang,Rendah
2025-07-20,4.7327074e-05,4.4951052186190716e-05,Sedang,Sedang
2025-07-21,3.2325250000000004e-05,4.1365893806217374e-05,Rendah,Sedang
2025-07-22,2.3859102e-05,3.274555879761746e-05,Sangat Rendah,Rendah
2025-07-23,3.3845223e-05,3.8880322620000004e-05,Rendah,Rendah
2025-07-24,3.9053677e-05,3.438714091618889e-05,Rendah,Rendah
2025-07-25,2.9894154e-05,3.657606005555555e-05,Rendah,Rendah
2025-07-26,2.3910829e-05,2.9224632701003707e-05,Sangat Rendah,Rendah
2025-07-27,2.3046394e-05,3.447289246238095e-05,Sangat Rendah,Rendah
2025-07-28,2.9478177e-05,2.9129750496428572e-05,Rendah,Rendah
2025-07-29,2.0960495e-05,3.122769767745098e-05,Sangat Rendah,Rendah
2025-07-30,1.6291786e-05,2.6723129992857144e-05,Sangat Rendah,Sangat Rendah
2025-07-31,3.450339e-05,2.5312270669444443e-05,Rendah,Sangat Rendah
2025-08-01,2.1401034e-05,3.332053608888889e-05,Sangat Rendah,Rendah
2025-08-02,8.788432e-06,3.3160675303333334e-05,Sangat Rendah,Rendah
2025-08-03,7.90334673566667e-06,2.475794190944902e-05,Sangat Rendah,Sangat Rendah
2025-08-04,1.4791393999999999e-05,2.071170781495556e-05,Sangat Rendah,Sangat Rendah
2025-08-05,2.6626273e-05,2.361330408196928e-05,Sangat Rendah,Sangat Rendah
2025-08-06,3.8461152e-05,2.9889206552577777e-05,Rendah,Rendah
2025-08-07,3.804297e-05,3.243430846896667e-05,Rendah,Rendah
2025-08-08,3.6246303e-05,3.9680068042973856e-05,Rendah,Sedang
2025-08-09,3.4723027e-05,3.499487188082941e-05,Rendah,Rendah
2025-08-10,4.816042e-05,3.3297038366820696e-05,Sedang,Rendah
2025-08-11,2.7786444e-05,4.542594563624518e-05,Rendah,Sedang
2025-08-12,2.434394e-05,3.1320549008333334e-05,Sangat Rendah,Rendah
2025-08-13,3.238699e-05,3.799106455333334e-05,Rendah,Rendah
2025-08-14,2.8052833e-05,3.346432330801895e-05,Rendah,Rendah
2025-08-15,2.8178736e-05,2.996619944294118e-05,Rendah,Rendah
2025-08-16,3.12121e-05,2.8547017975387488e-05,Rendah,Rendah
2025-08-17,2.6754486e-05,2.8615770583496738e-05,Sangat Rendah,Rendah
2025-08-18,2.7692417200000002e-05,2.8498528631830066e-05,Rendah,Rendah
2025-08-19,2.86303484e-05,2.946378255555556e-05,Rendah,Rendah
2025-08-20,2.95682796e-05,2.991386313852941e-05,Rendah,Rendah
2025-08-21,3.05062108e-05,2.97966471274183e-05,Rendah,Rendah
2025-08-22,3.1444142e-05,2.786237683970588e-05,Rendah,Rendah
2025-08-23,2.7258611e-05,2.9353819485457522e-05,Rendah,Rendah
2025-08-24,4.452667e-05,2.7676678873006544e-05,Sedang,Rendah
2025-08-25,1.8505822e-05,4.0889378148717954e-05,Sangat Rendah,Sedang
2025-08-26,6.598048e-05,2.771483305e-05,Tinggi,Rendah
2025-08-27,9.6753276e-05,5.1964271887606836e-05,Tinggi,Sedang
2025-08-28,3.3319597e-05,7.361616587142857e-05,Rendah,Tinggi
2025-08-29,2.7133686e-05,4.764675663119048e-05,Sangat Rendah,Sedang
2025-08-30,2.0947775e-05,3.834434824444444e-05,Sangat Rendah,Rendah
2025-08-31,2.402236e-05,2.7042537949603174e-05,Sangat Rendah,Sangat Rendah
2025-09-01,8.124260000000003e-06,3.0304932172619053e-05,Sangat Rendah,Rendah
2025-09-02,1.9896324e-05,2.481493528841111e-05,Sangat Rendah,Sangat Rendah
2025-09-03,1.8038393999999997e-05,2.6848910598937905e-05,Sangat Rendah,Sangat Rendah
2025-09-04,1.1687915000000001e-05,2.540653616253268e-05,Sangat Rendah,Sangat Rendah
2025-09-05,2.1486097e-05,2.1005617541691506e-05,Sangat Rendah,Sangat Rendah
2025-09-06,4.338905e-05,2.770001505562092e-05,Sedang,Rendah
2025-09-07,4.60641e-05,3.3202225157855554e-05,Sedang,Rendah
2025-09-08,4.34877225e-05,4.0129992863624786e-05,Sedang,Sedang
2025-09-09,4.0911345e-05,4.3799854523937415e-05,Sedang,Sedang
2025-09-10,3.5769517e-05,4.0203617193592764e-05,Rendah,Sedang
2025-09-11,4.357547e-05,3.492110746537656e-05,Sedang,Rendah
2025-09-12,4.565281e-05,4.593124276602863e-05,Sedang,Sedang
2025-09-13,1.874217e-05,4.403261556143791e-05,Sangat Rendah,Sedang
2025-09-14,2.192898e-05,2.9237658708333333e-05,Sangat Rendah,Rendah
2025-09-15,3.317365e-05,2.755085556015555e-05,Rendah,Rendah
2025-09-16,3.13688e-05,2.926537596341111e-05,Rendah,Rendah
2025-09-17,2.9415413799999998e-05,3.024961362222222e-05,Rendah,Rendah
2025-09-18,2.74620276e-05,2.8855670742875816e-05,Rendah,Rendah
2025-09-19,2.55086414e-05,2.851568512538749e-05,Sangat Rendah,Rendah
2025-09-20,2.35552552e-05,3.308500605031746e-05,Sangat Rendah,Rendah
2025-09-21,2.1601869e-05,2.9769327705952376e-05,Sangat Rendah,Rendah
2025-09-22,2.5940717e-05,2.791223158144258e-05,Sangat Rendah,Rendah
2025-09-23,4.6242556e-05,2.6063229490418576e-05,Sedang,Sangat Rendah
2025-09-24,6.694645e-05,3.752118580555556e-05,Tinggi,Rendah
2025-09-25,1.5876036e-05,5.868284981092796e-05,Sangat Rendah,Sedang
2025-09-26,8.426396e-06,2.9047760578333334e-05,Sangat Rendah,Rendah
2025-09-27,3.6040223e-05,2.878396224578889e-05,Rendah,Rendah
2025-09-28,1.8586219e-05,3.7202659658888895e-05,Sangat Rendah,Rendah
2025-09-29,1.920768425e-05,2.9479828117777778e-05,Sangat Rendah,Rendah
2025-09-30,1.9829149500000002e-05,2.393328093040457e-05,Sangat Rendah,Sangat Rendah
2025-10-01,2.045061475e-05,2.3731334305306538e-05,Sangat Rendah,Sangat Rendah
2025-10-02,2.107208e-05,2.4149854601973205e-05,Sangat Rendah,Sangat Rendah
2025-10-03,7.111857e-05,2.4569118820600655e-05,Tinggi,Sangat Rendah
2025-10-04,2.8609635e-05,5.650079356777778e-05,Rendah,Sedang
2025-10-05,2.4917712e-05,3.911695975833334e-05,Sangat Rendah,Rendah
2025-10-06,3.889455e-05,3.341484701666667e-05,Rendah,Rendah
2025-10-07,3.4856363e-05,3.734563277452222e-05,Rendah,Rendah
